,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
58494,29929,Foy Draper,M,22.0,165.0,54.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
58510,29941,"Victoria Manalo ""Vicki"" Draves",F,23.0,,,United States,USA,1948 Summer,1948,Summer,London,Diving,Diving Women's Springboard,Gold
58511,29941,"Victoria Manalo ""Vicki"" Draves",F,23.0,,,United States,USA,1948 Summer,1948,Summer,London,Diving,Diving Women's Platform,Gold
58526,29947,Otis Paul Drayton,M,25.0,183.0,73.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
58606,29989,Caeleb Remel Dressel,M,19.0,191.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
58607,29989,Caeleb Remel Dressel,M,19.0,191.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
58612,29992,Ivan Chandler Dresser,M,23.0,180.0,68.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold
58646,30009,Clyde Austin Drexler,M,30.0,200.0,101.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
58684,30028,Annika Elise Madsen Dries,F,20.0,185.0,89.0,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
58772,30069,Franois Louis Drolet,M,25.0,172.0,70.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
58822,30097,Derek Drouin,M,26.0,196.0,83.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Gold
58861,30123,"Jonathan A. ""Jon"" Drummond",M,32.0,175.0,75.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
58922,30153,"Matthew Alexander ""Matt"" Dryke",M,25.0,183.0,75.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet,Gold
59231,30337,"Matthew ""Matt"" Duchene",M,23.0,180.0,91.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59249,30349,George Ducker,M,32.0,,,Galt Football Club,CAN,1904 Summer,1904,Summer,St. Louis,Football,Football Men's Football,Gold
59250,30350,Richard Louis Duckett,M,23.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
59346,30395,"William Henry Dudley, III",M,17.0,,,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
59374,30411,"Virginia Ruth ""Ginny"" Duenkel",F,17.0,170.0,61.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 400 metres Freestyle,Gold
59457,30454,Justine Dufour-Lapointe,F,19.0,164.0,54.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
59639,30551,"Charles Everett ""Charlie"" Dumas",M,19.0,185.0,81.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's High Jump,Gold
59768,30617,"James Ralph ""Jim"" Dunbar",M,22.0,,,United States,USA,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Gold
59817,30635,"Albert Gordon ""Bert"" Duncanson",M,20.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59898,30666,"David Coombs ""Dave"" Dunlap",M,21.0,189.0,86.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
59950,30699,"Patricia ""Tricia"" Dunn-Luoma",F,23.0,173.0,66.0,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
59971,30714,"Bernard Francis ""Frank"" Dunster",M,26.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
60076,30765,Lori Dupuis,F,29.0,173.0,75.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
60167,30807,Kevin Wayne Durant,M,23.0,206.0,105.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
60168,30807,Kevin Wayne Durant,M,27.0,206.0,105.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
60442,30951,"Richard Lloyd ""Rich"" Duwelius",M,29.0,198.0,89.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
60495,30987,Charles Edward Dvorak,M,25.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Pole Vault,Gold
60497,30989,"Douglas Scott ""Dusty"" Dvorak",M,26.0,188.0,82.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
60546,31012,Conor James Dwyer,M,23.0,196.0,89.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
60549,31012,Conor James Dwyer,M,27.0,196.0,89.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
60629,31049,"Hector Monroe ""Hec"" Dyer",M,22.0,188.0,75.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
60692,31081,"Rebekah ""Becky"" Dyroen-Lancer",F,25.0,174.0,58.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
60851,31167,"Edward Patrick Francis ""Eddie"" Eagan",M,21.0,179.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Light-Heavyweight,Gold
60853,31167,"Edward Patrick Francis ""Eddie"" Eagan",M,33.0,179.0,,United States-1,USA,1932 Winter,1932,Winter,Lake Placid,Bobsleigh,Bobsleigh Men's Four,Gold
60905,31198,Ivan Leclare Eastman,M,24.0,,,United States,USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
60913,31205,Ashton James Eaton,M,24.0,186.0,81.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,Gold
60914,31205,Ashton James Eaton,M,28.0,186.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Gold
61131,31320,"Sheila Ann Echols (-Williams, -Gross)",F,23.0,165.0,52.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
61311,31394,"Gertrude Caroline ""Trudy"" Ederle",F,18.0,167.0,64.0,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
61318,31399,"David Holmes ""Dave"" Edgar",M,22.0,188.0,86.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
61482,31490,"Kenneth Paine ""Ken"" Edwards",M,18.0,,,Western Golf Association-1,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
61523,31507,Teresa Edwards,F,20.0,175.0,68.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
61524,31507,Teresa Edwards,F,24.0,175.0,68.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
61526,31507,Teresa Edwards,F,32.0,175.0,68.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
61527,31507,Teresa Edwards,F,36.0,175.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold
61609,31544,Henry Chandler Egan,M,19.0,,,Western Golf Association-1,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
61613,31547,Walter Eugene Egan,M,23.0,178.0,,Western Golf Association-1,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
62853,32221,"James Robert ""Jim"" Elder",M,34.0,172.0,70.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
63040,32316,"Walton Glenn Eller, III",M,26.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,Gold
63141,32369,"Kathleen ""Kathy"" Ellis (-Landgraf, -Greer)",F,17.0,169.0,59.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
63143,32369,"Kathleen ""Kathy"" Ellis (-Landgraf, -Greer)",F,17.0,169.0,59.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
63159,32382,Taylor Ellis-Watson,F,23.0,183.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
63201,32404,Amanda Elmore,F,25.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
63383,32489,John Emery,M,32.0,,,Canada-1,CAN,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Gold
63387,32492,"Victor ""Vic"" Emery",M,30.0,,,Canada-1,CAN,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Gold
63429,32512,Max Philip Emmerich,M,25.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",Gold
63442,32517,"Matthew D. ""Matt"" Emmons",M,23.0,175.0,84.0,United States,USA,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
63622,32591,Everard Coenraad Endt,M,59.0,,,Llanoria,USA,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed 6 metres,Gold
63854,32717,Paul N. Enquist,M,28.0,198.0,93.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,Gold
63859,32720,Adam Enright,M,26.0,178.0,79.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Curling,Curling Men's Curling,Gold
64217,32892,"Steven Richard ""Steve"" Erickson",M,22.0,183.0,98.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,Gold
64497,33015,"August Casimir ""Gus"" Erker",M,24.0,,,Century Boat Club-1,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Fours,Gold
64640,33076,"Michael Anthony ""Mike"" Eruzione",M,25.0,178.0,84.0,United States,USA,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
64647,33079,Anthony Lee Ervin,M,19.0,191.0,80.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,Gold
64650,33079,Anthony Lee Ervin,M,35.0,191.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Gold
64651,33079,Anthony Lee Ervin,M,35.0,191.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
64848,33177,Robert Esmie,M,24.0,175.0,64.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
64993,33262,Caldwell Blackman Esselstyn,M,22.0,192.0,89.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold
65160,33350,"Fred Rudolph Etchen, Sr.",M,39.0,183.0,,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Trap, Team",Gold
65177,33363,"Mary Camille ""Kamie"" Ethridge",F,24.0,165.0,55.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
65247,33396,"Edward Frederick ""Ed"" Etzel, Jr.",M,31.0,178.0,66.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
65324,33430,"William Best ""Billy"" Evans",M,24.0,185.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
65355,33449,Janet Beth Evans,F,17.0,167.0,54.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,Gold
65356,33449,Janet Beth Evans,F,17.0,167.0,54.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle,Gold
65357,33449,Janet Beth Evans,F,17.0,167.0,54.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,Gold
65359,33449,Janet Beth Evans,F,20.0,167.0,54.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 800 metres Freestyle,Gold
65374,33457,Lee Edward Evans,M,21.0,180.0,78.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,Gold
65375,33457,Lee Edward Evans,M,21.0,180.0,78.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
65379,33461,"Marcus ""Mark"" Evans",M,26.0,196.0,87.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
65383,33463,"John Michael ""Mike"" Evans",M,26.0,190.0,87.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
65464,33505,Jeffrey Adam Everett,M,23.0,182.0,75.0,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
65467,33507,"Daniel Joseph ""Danny Joe"" Everett",M,21.0,187.0,64.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
65555,33547,"Henry Norwood ""Barney"" Ewell",M,30.0,180.0,71.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
65565,33553,Patrick Aloysius Ewing,M,21.0,213.0,109.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
65566,33553,Patrick Aloysius Ewing,M,29.0,213.0,109.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
65569,33555,Walter Hamilton Ewing,M,30.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Shooting,Shooting Men's Trap,Gold
65574,33557,"Raymond Clarence ""Ray"" Ewry",M,26.0,185.0,79.0,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing High Jump,Gold
65575,33557,"Raymond Clarence ""Ray"" Ewry",M,26.0,185.0,79.0,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing Long Jump,Gold
65576,33557,"Raymond Clarence ""Ray"" Ewry",M,26.0,185.0,79.0,United States,USA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Standing Triple Jump,Gold
65577,33557,"Raymond Clarence ""Ray"" Ewry",M,30.0,185.0,79.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Standing High Jump,Gold
65578,33557,"Raymond Clarence ""Ray"" Ewry",M,30.0,185.0,79.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Standing Long Jump,Gold
65579,33557,"Raymond Clarence ""Ray"" Ewry",M,30.0,185.0,79.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Standing Triple Jump,Gold
65580,33557,"Raymond Clarence ""Ray"" Ewry",M,32.0,185.0,79.0,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Standing High Jump,Gold
65581,33557,"Raymond Clarence ""Ray"" Ewry",M,32.0,185.0,79.0,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Standing Long Jump,Gold
65582,33557,"Raymond Clarence ""Ray"" Ewry",M,34.0,185.0,79.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Standing High Jump,Gold
65583,33557,"Raymond Clarence ""Ray"" Ewry",M,34.0,185.0,79.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Standing Long Jump,Gold
65596,33563,"John Onins Exley, Jr.",M,32.0,,,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
65597,33563,"John Onins Exley, Jr.",M,37.0,,,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
65629,33582,George Louis Eyser,M,33.0,170.0,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Horse Vault,Gold
65630,33582,George Louis Eyser,M,33.0,170.0,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Parallel Bars,Gold
65632,33582,George Louis Eyser,M,33.0,170.0,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Rope Climbing,Gold
65920,33736,Aeriwentha Mae Faggs (-Starr),F,20.0,158.0,50.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
66044,33793,David William Fairbank,M,17.0,193.0,72.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
66045,33793,David William Fairbank,M,17.0,193.0,72.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
66547,34045,"Joseph Halpin ""Joe"" Fargis, IV",M,36.0,187.0,75.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
66548,34045,"Joseph Halpin ""Joe"" Fargis, IV",M,36.0,187.0,75.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
66591,34071,Linn Markley Farish,M,22.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
66682,34110,Robert E. Farnan,M,27.0,,,Seawanhaka Boat Club-1,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Pairs,Gold
66746,34141,"Felix Jeffrey ""Jeff"" Farrell",M,23.0,183.0,70.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
66747,34141,"Felix Jeffrey ""Jeff"" Farrell",M,23.0,183.0,70.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
66777,34163,Kaitlyn Brooke Farrington,F,24.0,163.0,57.0,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,Gold
66920,34233,Rachel Fattal,F,22.0,173.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
67154,34326,Joy Lynn Fawcett (Biefeld-),F,28.0,165.0,59.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold
67156,34326,Joy Lynn Fawcett (Biefeld-),F,36.0,165.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Gold
67430,34467,"James ""Jimmy"" Feigen",M,26.0,196.0,98.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
67600,34551,Allyson Michelle Felix,F,22.0,168.0,56.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
67602,34551,Allyson Michelle Felix,F,26.0,168.0,56.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 200 metres,Gold
67603,34551,Allyson Michelle Felix,F,26.0,168.0,56.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
67604,34551,Allyson Michelle Felix,F,26.0,168.0,56.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
67606,34551,Allyson Michelle Felix,F,30.0,168.0,56.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
67607,34551,Allyson Michelle Felix,F,30.0,168.0,56.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
67776,34643,Dennis Fenton,M,31.0,185.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
67777,34643,Dennis Fenton,M,31.0,185.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold
67779,34643,Dennis Fenton,M,31.0,185.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold
67877,34688,Cathy Jane Ferguson (-Brennan),F,16.0,173.0,61.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Backstroke,Gold
67878,34688,Cathy Jane Ferguson (-Brennan),F,16.0,173.0,61.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
68155,34819,"Beatriz Cristina ""Gigi"" Fernandez",F,28.0,170.0,66.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Women's Doubles,Gold
68156,34819,"Beatriz Cristina ""Gigi"" Fernandez",F,32.0,170.0,66.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Women's Doubles,Gold
68212,34851,Lisa M. Fernandez (-Lujan),F,25.0,167.0,77.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
68213,34851,Lisa M. Fernandez (-Lujan),F,29.0,167.0,77.0,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
68214,34851,Lisa M. Fernandez (-Lujan),F,33.0,167.0,77.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
68246,34864,"Maria Jose ""Mary Joe"" Fernandez (-Godsick)",F,20.0,176.0,63.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Women's Doubles,Gold
68248,34864,"Maria Jose ""Mary Joe"" Fernandez (-Godsick)",F,24.0,176.0,63.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Women's Doubles,Gold
68442,34944,Gillian Ferrari,F,25.0,173.0,73.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
68592,35011,Barbara Ann Ferrell (-Edmonson),F,21.0,159.0,47.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
68715,35065,"Edward Payson ""Ed"" Ferry",M,23.0,193.0,89.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,Gold
69019,35193,"William Beauford ""Bill"" Fields",M,22.0,,,United States,USA,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Gold
69021,35194,Connor Evan Fields,M,23.0,183.0,88.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's BMX,Gold
69022,35195,"John (Jacob) ""Jackie"" Fields (Finkelstein-)",M,16.0,171.0,57.0,United States,USA,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Featherweight,Gold
69048,35214,"James Thomas ""Jim"" Fifer",M,26.0,186.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Pairs,Gold
69441,35390,Jennie Lynn Finch (-Daigle),F,23.0,185.0,77.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
69467,35398,"Conrad Francis ""Conn"" Findlay",M,26.0,198.0,90.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Pairs,Gold
69469,35398,"Conrad Francis ""Conn"" Findlay",M,34.0,198.0,90.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Pairs,Gold
69518,35431,Michelle Bonae Finn (-Burrell),F,27.0,165.0,52.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
69523,35435,George V. Finnegan,M,,,47.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Flyweight,Gold
69664,35496,Aria Fischer,F,17.0,183.0,78.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
69727,35523,Makenzie Fischer,F,19.0,186.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
69831,35562,George Winthrop Fish,M,25.0,173.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Rugby,Rugby Men's Rugby,Gold
69844,35572,"Morris ""Bud"" Fisher",M,27.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
69845,35572,"Morris ""Bud"" Fisher",M,27.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
69846,35572,"Morris ""Bud"" Fisher",M,27.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold
69847,35572,"Morris ""Bud"" Fisher",M,32.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Gold
69848,35572,"Morris ""Bud"" Fisher",M,32.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Gold
69852,35576,"Franklyn Wood ""Frank"" Fisher",M,20.0,,,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
69856,35578,Hugh Fisher,M,28.0,183.0,83.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
69878,35595,"William Mead Lindsley ""Billy"" Fiske, III",M,16.0,,,United States-2,USA,1928 Winter,1928,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Four/Five,Gold
